"ID","gender","sped","frlunch","esol","black","white","hispanic","asian","age","pretest","posttest"
23450228,1,0,0,0,0,1,0,0,12.731006,223,242
23451705,0,0,1,0,0,1,0,0,13.021218,204,216
23450985,0,0,1,0,1,0,0,0,12.728268,219,207
23450843,0,0,0,0,1,0,0,0,12.999316,213,229
23452317,0,0,1,0,0,0,1,0,12.793977,220,218
23451000,0,0,0,0,1,0,0,0,12.5859,204,212
23452548,0,0,1,0,0,1,0,0,12.854209,231,228
23450111,0,0,1,0,0,1,0,0,12.273785,211,234
23452579,0,0,1,0,0,1,0,0,12.999316,215,216
23451628,1,0,1,0,0,1,0,0,12.202601,210,218
23451570,1,1,1,0,0,1,0,0,13.166324,221,224
23450943,1,0,1,0,1,0,0,0,12.607803,215,227
23451201,1,1,0,0,0,1,0,0,12.695414,215,218
23450378,1,1,1,0,0,0,0,0,13.138946,216,219
23450552,0,0,0,0,0,1,0,0,12.859685,226,241
23451306,1,0,0,0,1,0,0,0,12.588638,219,216
23451105,1,0,0,0,1,0,0,0,12.17796,219,220
23451781,0,0,1,0,1,0,0,0,11.819302,225,225
23451579,0,NA,1,1,0,0,0,1,12.517454,205,228
23450010,1,0,0,0,0,1,0,0,12.33128,228,203
23452539,0,0,1,0,1,0,0,0,13.552361,205,222
23451290,0,0,1,0,1,0,0,0,13.034908,203,216
23451225,0,0,1,0,0,0,1,0,12.238193,213,214
23451028,0,0,0,0,1,0,0,0,12.574949,237,243
23450773,1,0,0,0,0,1,0,0,12.884326,204,208
23452601,0,0,1,0,1,0,0,0,12.284736,221,201
23450417,0,0,0,0,0,1,0,0,12.090349,226,230
23451031,1,0,1,0,0,1,0,0,12.914442,216,221
23451389,1,1,1,1,0,0,1,0,12.40794,232,224
23452305,1,0,1,0,1,0,0,0,12.689938,243,245
23450865,0,0,1,0,1,0,0,0,12.599589,229,227
23451487,0,NA,0,NA,0,1,0,0,12.640657,226,235
23451991,0,0,0,0,0,1,0,0,12.520192,207,230
23452397,0,0,1,0,0,0,1,0,12.651608,222,223
23450640,1,0,1,0,1,0,0,0,13.037645,201,223
23452291,0,0,1,1,0,0,1,0,12.268309,211,229
23450258,1,0,1,1,0,0,1,0,12.73922,215,209
23452745,1,0,0,0,0,1,0,0,13.295003,235,241
23450224,0,0,0,0,0,1,0,0,12.383299,232,232
23452115,0,0,1,0,1,0,0,0,12.268309,228,235
23452203,NA,0,0,0,NA,NA,NA,NA,NA,215,226
23451765,0,0,1,0,0,0,1,0,12.70089,202,216
23452015,0,0,1,0,1,0,0,0,14.255989,215,208
23450714,1,0,1,0,0,1,0,0,12.793977,231,227
23450750,0,0,1,0,1,0,0,0,11.685147,213,237
23452014,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,220
23450230,1,0,1,0,0,0,1,0,12.309377,241,250
23452152,1,0,1,0,1,0,0,0,12.884326,211,214
23451144,0,0,0,0,1,0,0,0,12.161533,216,224
23450149,1,0,0,0,0,1,0,0,12.276523,248,248
23452166,1,0,1,0,1,0,0,0,13.36345,206,220
23450998,0,0,0,0,1,0,0,0,12.344969,214,226
23452149,0,0,1,0,1,0,0,0,12.380561,206,218
23452284,1,0,1,0,1,0,0,0,12.213552,223,224
23450802,1,0,1,0,1,0,0,0,12.093087,216,231
23452038,0,0,1,0,1,0,0,0,12.821355,209,213
23451725,0,0,0,0,0,0,0,0,12.599589,215,194
23450449,1,0,1,1,1,0,0,0,13.13347,218,207
23452322,1,0,1,0,0,0,1,0,12.706366,218,215
23450205,0,0,0,0,0,1,0,0,12.429843,223,227
